25 100
20
1 30
2 7 11
2 5 21
2 11 0
2 4 26
2 3 18
2 5 -1
3 0 11
2 10 0
3 11 7
3 21 5
3 18 3
3 18 -1
3 2 -1
2 8 14
2 3 10
2 5 -1
3 10 3
3 26 4
3 10 -1
14
1 30
2 3 13
2 1 22
2 7 3
2 1 26
2 4 17
2 2 0
3 3 7
2 3 6
2 4 2
2 2 10
3 0 2
3 13 3
2 5 12
14
1 30
2 2 14
2 5 4
2 4 21
3 4 5
3 21 4
2 9 2
2 5 20
2 5 25
2 1 17
2 1 12
2 2 0
2 3 -1
3 14 2
41
1 100
2 1 49
2 3 73
2 26 11
2 6 85
3 11 26
2 7 21
3 21 7
2 10 19
2 3 60
2 6 36
2 2 8
3 19 10
2 8 19
2 4 53
3 85 6
2 10 83
2 2 67
2 1 14
3 19 8
2 5 23
2 3 2
3 14 1
2 9 12
3 83 10
2 8 84
2 1 31
2 5 77
3 84 8
2 10 86
2 4 43
3 86 10
3 12 9
3 23 5
2 1 20
2 10 86
3 86 10
2 16 83
3 31 1
3 36 6
2 6 29
41
1 100
2 6 47
2 4 21
2 2 75
2 1 88
3 47 6
3 75 2
3 89 -1
2 7 53
2 6 36
2 6 71
2 3 9
2 3 29
3 36 6
2 1 42
3 29 3
3 71 6
2 2 73
3 73 2
2 10 69
2 4 31
2 7 91
2 4 46
3 46 4
2 5 45
2 6 1
3 69 10
2 9 69
2 2 82
3 45 5
2 8 44
3 69 9
2 1 70
2 7 73
2 7 61
2 6 13
2 5 36
2 5 25
2 4 84
2 1 7
3 91 7
131
1 1000
2 9 495
2 34 735
2 4 245
2 244 250
2 31 107
2 16 611
3 611 16
2 11 614
2 17 876
3 107 31
3 735 34
2 34 733
2 10 117
2 12 180
2 10 53
2 23 547
3 733 34
3 250 244
2 85 708
2 20 362
3 0 -1
2 34 288
2 20 428
2 26 933
2 20 656
3 708 85
2 5 773
3 656 20
3 876 17
2 46 832
2 19 689
2 30 725
3 832 46
3 288 34
3 773 5
2 43 822
2 13 299
2 47 875
2 20 778
2 31 641
3 689 19
2 38 71
2 46 3
2 15 146
3 146 15
2 27 140
2 28 204
2 42 677
2 10 269
3 725 30
2 45 726
2 16 329
2 19 462
2 13 398
2 42 571
2 36 507
2 33 963
2 19 800
3 726 45
3 778 20
2 20 749
2 23 773
2 10 729
2 13 252
2 13 282
2 41 -1
3 192 -1
2 16 312
2 6 350
3 269 10
3 875 47
2 47 875
2 5 271
2 17 411
3 749 20
3 614 11
2 1 755
2 24 615
2 11 759
3 571 42
2 5 590
2 12 574
3 615 24
2 2 617
2 3 604
3 507 36
2 37 507
2 22 619
2 16 382
3 933 26
2 3 941
3 71 38
3 350 6
2 40 70
3 773 23
2 19 775
2 8 927
3 117 10
2 28 111
3 3 46
2 4 24
2 25 28
2 20 2
2 5 951
2 16 345
2 4 745
2 7 451
3 875 47
2 47 872
3 362 20
2 11 366
3 641 31
3 800 19
2 35 641
2 1 807
2 2 487
2 5 812
2 10 168
